,name,link,salary_min,salary_max,currency_of_salary,site_name
65,Python разработчик (Django),https://hh.ru/vacancy/51205321?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
66,Python Developer,https://hh.ru/vacancy/50968793?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,135000.0,187000.0,руб.,hh.ru
67,Data Scientist (Middle),https://hh.ru/vacancy/51421868?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,330000.0,руб.,hh.ru
68,Разработчик Python,https://hh.ru/vacancy/49648908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,,руб.,hh.ru
69,Python Developer с интересом к Machine Learning,https://hh.ru/vacancy/51258131?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
70,Middle/Senior Python Developer,https://hh.ru/vacancy/50636262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,180000.0,300000.0,руб.,hh.ru
71,Python (Django) Backend developer,https://hh.ru/vacancy/49139962?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,270000.0,руб.,hh.ru
72,Разработчик Python (parsing),https://hh.ru/vacancy/50934911?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,1000.0,EUR,hh.ru
73,Программирующий математик / Алгоритмист (на Кипр),https://hh.ru/vacancy/51532651?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,4000.0,,EUR,hh.ru
74,Middle Python Backend Developer/ ML Разработчик,https://hh.ru/vacancy/51034764?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,150000.0,,руб.,hh.ru
75,Computer vision,https://hh.ru/vacancy/51707996?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,,руб.,hh.ru
76,Python разработчик (QA),https://hh.ru/vacancy/50995571?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,70000.0,150000.0,руб.,hh.ru
77,Python developer/Python разработчик,https://hh.ru/vacancy/51733212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
78,Python - разработчик,https://hh.ru/vacancy/50672961?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
79,Python разработчик,https://hh.ru/vacancy/49017151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
80,Python Developer,https://hh.ru/vacancy/51215380?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,70000.0,200000.0,руб.,hh.ru
81,Senior Python developer / Старший Python-Разработчик,https://hh.ru/vacancy/47484744?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,250000.0,,руб.,hh.ru
82,Senior/Lead QA Automation Engineer,https://hh.ru/vacancy/44922362?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,300000.0,450000.0,руб.,hh.ru
83,Python developer (middle/senior),https://hh.ru/vacancy/51658170?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,400000.0,руб.,hh.ru
84,Python разработчик,https://hh.ru/vacancy/51629618?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
85,Data Scientist,https://hh.ru/vacancy/51045137?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,1000.0,1500.0,EUR,hh.ru
86,Senior Python Backend Engineer,https://hh.ru/vacancy/51224632?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,300000.0,412400.0,руб.,hh.ru
87,Аналитик Python,https://hh.ru/vacancy/51217251?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,125000.0,125000.0,руб.,hh.ru
88,Python developer (computer vision backend),https://hh.ru/vacancy/49342079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,170000.0,250000.0,руб.,hh.ru
89,Middle Python-разработчик (EdTech-стартап),https://hh.ru/vacancy/51409548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,140000.0,170000.0,руб.,hh.ru
90,Разработчик Python,https://hh.ru/vacancy/50991071?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
91,Python - разработчик (Django),https://hh.ru/vacancy/50099536?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
92,"Разработчик алгоритмов глубокого машинного обучения (ML, нейронные сети)",https://hh.ru/vacancy/51414900?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,200000.0,300000.0,руб.,hh.ru
93,Python разработчик,https://hh.ru/vacancy/51643257?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
94,Разработчик бэкэнд (Python),https://hh.ru/vacancy/50789689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,100000.0,150000.0,руб.,hh.ru
95,Middle Python Developer,https://hh.ru/vacancy/51279257?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,160000.0,200000.0,руб.,hh.ru
96,Senior Python developer (python3.8. + django),https://hh.ru/vacancy/51093436?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,250000.0,300000.0,руб.,hh.ru
97,Full-Stack Python Developer,https://hh.ru/vacancy/51809964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,5000.0,8000.0,USD,hh.ru
98,"Аналитик (SQL, Phython)",https://hh.ru/vacancy/50872496?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
99,Стажер Data Engineer,https://hh.ru/vacancy/51799722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
100,Machine Learning Developer (junior),https://hh.ru/vacancy/51472434?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,,,,hh.ru
